TeamName,Conference,PlayoffRank,SEASON,W_PCT,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,AST,REB,TOV,STL,BLK,AllStar_count,Finals_Appearances_Last5,ChampionNumber,Label
Bulls,East,1,2011,0.756,600.0,0.462,0.361,0.743,1827,3621,1161.0,592,468,1,0,6,0
Lakers,West,2,2011,0.695,501.0,0.463,0.352,0.779,1801,3605,1073.0,602,422,2,3,16,0
Heat,East,2,2011,0.707,612.0,0.481,0.37,0.769,1639,3456,1142.0,544,430,3,1,1,0
Celtics,East,3,2011,0.683,440.0,0.486,0.365,0.77,1921,3181,1195.0,676,344,4,2,17,0
Mavericks,West,3,2011,0.695,347.0,0.475,0.365,0.777,1954,3398,1145.0,557,352,1,1,0,1
Thunder,West,4,2011,0.671,311.0,0.464,0.347,0.823,1672,3507,1156.0,654,487,2,0,1,0
Magic,East,4,2011,0.634,448.0,0.461,0.366,0.692,1636,3543,1224.0,548,384,1,1,0,0
Nuggets,West,5,2011,0.61,390.0,0.476,0.388,0.765,1813,3443,1157.0,605,352,1,0,0,0
Hawks,East,5,2011,0.537,-67.0,0.462,0.352,0.779,1802,3222,1118.0,497,341,2,0,1,0
Knicks,East,6,2011,0.512,64.0,0.457,0.368,0.809,1757,3317,1123.0,625,475,1,0,2,0
Trail Blazers,West,6,2011,0.585,125.0,0.447,0.345,0.804,1736,3226,1070.0,660,358,0,0,1,0
76ers,East,7,2011,0.5,123.0,0.461,0.355,0.77,1861,3428,1063.0,621,355,0,0,3,0
Hornets,West,7,2011,0.561,73.0,0.459,0.36,0.765,1691,3292,1069.0,624,359,1,0,0,0
Pacers,East,8,2011,0.451,-88.0,0.442,0.354,0.782,1611,3571,1262.0,584,456,0,0,0,0
Grizzlies,West,8,2011,0.561,192.0,0.471,0.334,0.75,1691,3361,1145.0,771,441,0,0,0,0
Bulls,East,1,2012,0.758,540.0,0.452,0.375,0.722,1527,3080,923.0,456,388,2,0,6,0
Spurs,West,1,2012,0.758,473.0,0.478,0.393,0.748,1528,2836,895.0,490,293,1,1,4,0
Heat,East,2,2012,0.697,395.0,0.469,0.359,0.775,1317,2746,1002.0,585,355,3,1,1,1
Thunder,West,2,2012,0.712,404.0,0.471,0.358,0.806,1224,2883,1079.0,498,539,2,0,1,0
Pacers,East,3,2012,0.636,218.0,0.438,0.368,0.782,1228,2896,925.0,523,357,1,0,0,0
Lakers,West,3,2012,0.621,94.0,0.457,0.326,0.756,1485,3050,997.0,390,351,2,3,16,0
